id,pn,num,company_name,aog_status,create_time,PNR_ID
43134,645242-1,1.0,北京飞机维修工程有限公司天津分公司,Done,2022-04-28 20:57:28,21-2x-28
45037,7121-19971-01AC,1.0,顺丰航空有限公司,Confirm,2022-05-12 07:44:21,21-3x-02
46071,398908-5,1.0,幸福航空有限责任公司,Done,2022-05-18 10:50:14,21-5X-35
46071,398908-5,1.0,幸福航空有限责任公司,Done,2022-05-18 10:50:14,21-6X-19
47610,213A3420-8,1.0,山东航空股份有限公司,Confirm,2022-05-26 18:37:06,21-5X-12-A
47988,398908-5,1.0,幸福航空有限责任公司,Confirm,2022-05-28 21:25:01,21-5X-35
47988,398908-5,1.0,幸福航空有限责任公司,Confirm,2022-05-28 21:25:01,21-6X-19
48034,7123-19973-02AC,1.0,厦门航空有限公司,Confirm,2022-05-29 11:39:03,21-3X-01
48373,7121-19971-01AC,1.0,顺丰航空有限公司,Done,2022-05-31 12:43:23,21-3x-02
49031,398908-3,1.0,九元航空有限公司,Confirm,2022-06-03 12:41:23,21-5X-35
49031,398908-3,1.0,九元航空有限公司,Confirm,2022-06-03 12:41:23,21-6X-19
49274,51090160-1,1.0,厦门航空有限公司,Confirm,2022-06-05 07:51:52,21-6X-14
50604,645242-1,1.0,山东航空股份有限公司,Confirm,2022-06-11 23:48:22,21-2x-28
51827,4101054,1.0,杭州圆通货运航空有限公司,Confirm,2022-06-17 17:43:56,21-2x-25
51827,4101054,1.0,杭州圆通货运航空有限公司,Confirm,2022-06-17 17:43:56,21-2x-24
52565,824392-1-002,1.0,中国国际航空股份有限公司,Done,2022-06-21 13:30:15,21-3X-01
53156,1019439-2-001,1.0,九元航空有限公司,Confirm,2022-06-24 00:38:01,21-3X-01
53315,3202444-1,2.0,深圳航空有限责任公司,Done,2022-06-24 14:56:44,21-6X-17
53968,641121-1,1.0,中国邮政航空有限责任公司,Confirm,2022-06-27 16:03:24,21-6X-04
54024,2215280-1,1.0,海航航空技术有限公司,Confirm,2022-06-27 19:43:31,21-5X-04
54084,7121-19971-01AC,1.0,中国邮政航空有限责任公司,Done,2022-06-28 07:36:45,21-3x-02
54742,824392-1-003,1.0,东方航空技术有限公司,Confirm,2022-06-30 18:32:26,21-3X-01
55118,1019439-1-001,1.0,奥凯航空有限公司,Done,2022-07-02 17:29:46,21-3X-01
56241,024116,1.0,顺丰航空有限公司,Confirm,2022-07-07 18:34:16,21-6X-25
56287,67600014-1,1.0,九元航空有限公司,Confirm,2022-07-08 01:35:17,21-5X-11
56287,67600014-1,1.0,九元航空有限公司,Confirm,2022-07-08 01:35:17,21-5X-40
56492,641121-1,1.0,中国邮政航空有限责任公司,Done,2022-07-08 20:43:36,21-6X-04
56616,7121-19971-01AB,1.0,中原龙浩航空有限公司,Confirm,2022-07-09 16:52:59,21-3x-02
56675,622878-2,1.0,北京飞机维修工程有限公司天津分公司,Confirm,2022-07-10 08:57:26,21-5X-34
56675,622878-2,1.0,北京飞机维修工程有限公司天津分公司,Confirm,2022-07-10 08:57:26,21-6X-13
56822,398908-3,1.0,九元航空有限公司,Confirm,2022-07-11 04:22:15,21-5X-35
56822,398908-3,1.0,九元航空有限公司,Confirm,2022-07-11 04:22:15,21-6X-19
56999,213A3410-2,1.0,海南航空控股股份有限公司,Confirm,2022-07-11 17:36:19,21-5X-12-A
57256,398908-5,1.0,幸福航空有限责任公司,Done,2022-07-12 21:07:59,21-5X-35
57256,398908-5,1.0,幸福航空有限责任公司,Done,2022-07-12 21:07:59,21-6X-19
57271,398908-3,1.0,幸福航空有限责任公司,Done,2022-07-13 00:30:38,21-5X-35
57271,398908-3,1.0,幸福航空有限责任公司,Done,2022-07-13 00:30:38,21-6X-19
57315,65-52810-57,1.0,中州航空有限责任公司,Done,2022-07-13 09:42:53,21-5X-02
57448,63396754-2,1.0,幸福航空有限责任公司,Confirm,2022-07-13 14:56:17,21-5X-03
57491,213A3410-2,1.0,海航航空技术有限公司,Confirm,2022-07-13 17:00:03,21-5X-12-A
57510,3290206-1,1.0,海航航空技术有限公司,Confirm,2022-07-13 19:00:08,21-5X-36
57511,65-52810-64,1.0,海航航空技术有限公司,Confirm,2022-07-13 19:00:08,21-5X-02
57512,3214972-1,1.0,海航航空技术有限公司,Confirm,2022-07-13 19:00:08,21-6X-18
57513,398908-3,1.0,海航航空技术有限公司,Confirm,2022-07-13 19:00:08,21-5X-35
57513,398908-3,1.0,海航航空技术有限公司,Confirm,2022-07-13 19:00:08,21-6X-19
57537,51090248-005,1.0,幸福航空有限责任公司,Done,2022-07-13 22:18:46,21-6X-14
57656,51090248-002,1.0,幸福航空有限责任公司,Confirm,2022-07-14 13:46:37,21-6X-14
57795,21933-01AD,1.0,山东航空股份有限公司,Confirm,2022-07-15 08:18:19,21-3x-02
57796,21230-03AC,1.0,山东航空股份有限公司,Confirm,2022-07-15 08:18:19,21-3x-03
57912,645242-1,1.0,奥凯航空有限公司,Done,2022-07-15 14:07:29,21-2x-28
58218,3202444-1,1.0,海航航空技术有限公司,Confirm,2022-07-17 14:12:02,21-6X-17
58290,67600014-1,1.0,九元航空有限公司,Done,2022-07-18 04:39:38,21-5X-11
58290,67600014-1,1.0,九元航空有限公司,Done,2022-07-18 04:39:38,21-5X-40
