"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,1,"13SP95408",POW,NOR,"20131127","0000001347",USD,B737NG,"51090160-1",50101.5,50101.5
MU,1,"14MG73207",POW,CRT,"20140417","0000001347",USD,B737NG,"51090160-1",55237,55237
MU,1,"15GX73455",POW,NOR,"20150923","0000001347",USD,B737NG,"51090160-1",58238,58238
MU,1,"15GX73533",POW,NOR,"20151216","0000001347",USD,B737NG,"51090160-1",58238,58238
MU,2,"16GX73297",POW,NOR,"20160531","0000001347",USD,B737NG,"51090248-002",61377,122754
MU,2,"16KX77319",POW,AOG,"20160624","0000001347",USD,B737NG,"51090248-002",61377,122754
MU,2,"16GX78473",POW,CRT,"20160630","0000001347",USD,B737NG,"51090248-002",61377,122754
MU,2,"16GX73442",POW,CRT,"20160725","0000001347",USD,B737NG,"51090248-002",61377,122754
CA,2,"4010001579",POW, ,"20080516",OS70210001,USD, ,"541674-4",14029,28058
CA,1,"4010012387",POW, ,"20110601",CS00145,USD, ,"541674-4",5600,5600
MU,2,"11SG77124",POW,CRT,"20111116","0000003131",USD,B737NG,"541674-4",15523.5,31047
CA,1,"4010016430",POW, ,"20120607",OS70210001,USD, ,"541674-4",16397.5,16397.5
MU,1,"7800000213",PON,CRT,"20150629","1000000010",RMB, ,"548376-6",16142.73,16142.73
CA,2,"4020000286",PON, ,"20080703",CS20133,RMB, ,"572756-1",17008.87,34017.74
CA,5,"4020000743",PON, ,"20090203",CS20136,RMB, ,"572756-1",0,0
CA,2,"4010009165",POW, ,"20100813",OS70210001,USD, ,"572756-1",1933.5,3867
CA,1,"4010013519",POW, ,"20110916",OS70210001,USD, ,"572756-1",1991.5,1991.5
MU,1,"12KX73452",POW,NOR,"20120629","0000003135",USD,B737-300,"572756-1",2071,2071
MU,1,"12MX73570",POW,EXP,"20121211","0000003135",USD,B737NG,"572756-1",2071,2071
MU,2,"13KX77520",POW,EXP,"20130731","0000003135",USD,B737NG,"572756-1",2143.5,4287
MU,2,"13MX73259",POW,NOR,"20130806","0000003135",USD,B737NG,"572756-1",2143.5,4287
MU,1,"13YX77196",POW,EXP,"20130809","0000001042",USD,B737NG,"572756-1",2650,2650
MU,1,"13GX78358",POW,NOR,"20130826","0000003135",USD,B737NG,"572756-1",2143.5,2143.5
MU,2,"14GX78459",POW,EXP,"20141031","0000003135",USD,B737NG,"572756-1",2284.54,4569.08
MU,1,"15MX73156",POW,NOR,"20150612","0000003135",USD,B737NG,"572756-1",2364.5,2364.5
CA,2,"4010036115",POW,CRT,"20170811",CS40450,USD, ,"572756-1",2086,4172
MU,2,"17MX73282",POW,CRT,"20170927","0000001432",USD,B737NG,"572756-1",2086,4172
MU,2,"17GX73458",POW,CRT,"20171103","0000001432",USD,B737NG,"572756-1",2599.56,5199.12
MU,2,"17KX77832",POW,CRT,"20171106","0000001432",USD,B737NG,"572756-1",2086,4172
CA,16,"4010037561",POW,CRT,"20171214",OS70210001,USD, ,"572756-1",2599.56,41592.96
MU,4,"18KX77037",POW,CRT,"20180112","0000001432",USD,B737NG,"572756-1",2201,8804
