CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,1600099882,HQY,CRT,20191022,1000000012,RMB,B737NG,285A1010-9,3329.65,3329.65,20191029,20191029,1.0
MU,1,1500001820,HQY,NOR,20191202,1000000052,RMB,B737NG,314-2100-2,5000,5000,20191204,20200226,84.0
MU,1,1600122495,HQY,AOG,20191223,1000000141,RMB,B737NG,69-55179-78,4415.84,4415.84,20191227,20191230,3.0
MU,1,1600122496,HQY,AOG,20191223,1000000012,RMB,B737NG,65-0294-23,100,100,20191227,20200110,14.0
MU,1,1600121999,HQY,AOG,20191222,1000000141,RMB,B737NG,83000-27904,1147.03,1147.03,20191223,20191226,3.0
MU,1,1500001851,HQY,NOR,20191223,1000000141,RMB,B737NG,65-0294-21,1057.54,1057.54,20191227,20200109,13.0
MU,1,1600122002,HQY,AOG,20191223,1000000141,RMB,B737NG,822-1567-102,0.01,0.01,20191223,20191224,1.0
MU,1,1600122212,HQY,AOG,20191223,1000000209,RMB,B737NG,174101-02-03,100,100,20191226,20191226,1.0
MU,1,4100007160,HQY,AOG,20170101,1000000575,RMB,B737NG,B42365-1,2791.64,2791.64,20170103,20170109,6.0
MU,1,1600112874,HQY,AOG,20191127,1000000031,RMB,B737NG,107484-7,1000,1000,20191128,20191211,13.0
MU,1,1600119504,HQY,AOG,20191215,1000000012,RMB,B737NG,4086850-924,118742.47,118742.47,20191216,20200203,49.0
MU,1,1600113259,HQY,AOG,20191128,1000000012,RMB,B737NG,6355C0001-01,16529.71,16529.71,20191128,20191230,32.0
MU,1,1600121341,HQY,AOG,20191219,1000000031,RMB,B737NG,315A2801-5,100,100,20191220,20191230,10.0
MU,1,1600116713,HQY,CRT,20191208,1000000012,RMB,B737NG,174101-02-03,75728.68,75728.68,20191209,20200106,28.0
MU,1,4100009846,HQY,CRT,20180618,1000000155,RMB,B737NG,4082730-901,22285.26,22285.26,20180620,20180705,15.0
MU,1,4100009660,HQY,AOG,20180522,1000000155,RMB,B737NG,2061-15-1,16194.34,16194.34,20180523,20180705,43.0
MU,1,4100009729,HQY,AOG,20180530,1000000141,RMB,B737NG,822-1567-102,1,1,20180531,20180911,103.0
MU,1,4100009837,HQY,AOG,20180617,1000000141,RMB,B737NG,65-52820-2,1,1,20180621,20180621,1.0
MU,1,4100009838,HQY,AOG,20180617,1000000141,RMB,B737NG,2A7206B,1,1,20180621,20181012,113.0
MU,1,4100009789,HQY,AOG,20180608,1000000155,RMB,B737NG,396608-1,11517.77,11517.77,20180610,20180612,2.0
MU,1,4100009601,HQY,AOG,20180512,1000000575,RMB,B737NG,4082260-937,222195.62,222195.62,20180513,20180607,25.0
MU,1,4100009602,HQY,AOG,20180513,1000000155,RMB,B737NG,1151952-19,7769.99,7769.99,20180516,20180516,1.0
MU,1,4100009604,HQY,AOG,20180513,1000000575,RMB,B737NG,5145-1-42,3126.42,3126.42,20180514,20180515,1.0
MU,1,4100009741,HQY,AOG,20180531,1000000575,RMB,B737NG,72303219-1,12075.39,12075.39,20180604,20181029,147.0
MU,1,4100009664,HQY,AOG,20180523,1000000155,RMB,B737NG,902864,18252.2,18252.2,20180524,20180622,29.0
MU,1,4100009876,HQY,EXP,20180624,1000000155,RMB,B737NG,3215618-5,2910.69,2910.69,20180625,20180625,1.0
MU,1,18GL88603,HQY,AOG,20180525,0000003381,USD,B737NG,176200-01-01,201,201,20180531,20180627,27.0
MU,1,4100009675,HQY,AOG,20180525,1000000155,RMB,B737NG,30-2683-9,2305.61,2305.61,20180525,20180709,45.0
MU,1,4100009682,HQY,AOG,20180525,1000000575,RMB,B737NG,1152466-250,65559.97,65559.97,20180526,20180607,12.0
MU,1,4100009756,HQY,AOG,20180604,1000000575,RMB,B737NG,4081600-940,65575.49,65575.49,20180605,20180612,7.0
MU,1,4100009625,HQY,AOG,20180517,1000000155,RMB,B737NG,3888058-7,1262.97,1262.97,20180517,20180531,14.0
MU,1,4100009750,HQY,AOG,20180604,1000000575,RMB,B737NG,HG2050AC11,26053.78,26053.78,20180604,20180607,3.0
MU,1,4100009753,HQY,AOG,20180604,1000000141,RMB,B737NG,RDAV2132,1,1,20180605,20181009,126.0
MU,1,4100009705,HQY,NOR,20180528,1000000155,RMB,B737NG,233A3206-2,12050.68,12050.68,20180529,20180622,24.0
MU,1,4100009711,HQY,AOG,20180528,1000000141,RMB,B737NG,33700002,1,1,20180604,20180613,9.0
MU,1,4100009641,HQY,AOG,20180518,1000000141,RMB,B737NG,G6990-19,1,1,20180521,20180913,115.0
