"id","pn","num","company_name","aog_status","create_time"
69350,"396608-1",1.0000,山东航空股份有限公司,Doing,"2022-09-17 14:37:40"
69708,"1019439-2-001",1.0000,北京飞机维修工程有限公司重庆分公司,Cancel,"2022-09-19 17:21:48"
69972,"398908-5",1.0000,九元航空有限公司,Doing,"2022-09-21 10:24:44"
70034,"51090160-1",1.0000,九元航空有限公司,Doing,"2022-09-21 15:09:53"
70035,"65-52810-64",1.0000,九元航空有限公司,Doing,"2022-09-21 15:09:53"
70129,"7123-19973-02AB",1.0000,中原龙浩航空有限公司,Cancel,"2022-09-22 06:23:53"
70135,"7123-19973-03AB",1.0000,中原龙浩航空有限公司,Doing,"2022-09-22 06:44:29"
70216,"3202444-1",1.0000,海南航空控股股份有限公司,Done,"2022-09-22 14:21:05"
70576,"024116",1.0000,北京飞机维修工程有限公司重庆分公司,Confirm,"2022-09-23 21:43:03"
70704,"396608-1",1.0000,北京飞机维修工程有限公司呼和浩特分公司,Done,"2022-09-24 20:33:26"
